entry_id,title,authors,year,journal,volume,pages,doi,arxiv_id,keywords,publication_type,featured,citation_count,research_area,relevance_score,abstract
10.1093/nsr/nwx116,The Taiji Program in Space for gravitational wave physics and the nature of gravity,Wen-Rui Hu; Yue-Liang Wu,2017,National Science Review,,,10.1093/nsr/nwx116,,,journal,False,0,,1.0,
10.1103/1bmr-zx57,Calibration of key parameters during the in-orbit phase for the Taiji-2 gravitational reference sensor,Haoyue Zhang; Chang Liu; Xiaotong Wei; Peng Xu; Li-E. Qiang; Ziren Luo; Ye Dong,2026,Physical Review Applied,,,10.1103/1bmr-zx57,2603.25327,,preprint,False,0,mission_design,1.0,
10.3847/1538-4357/ae5658,An Opacity-free Test of the Cosmic Distance Duality Relation Using Strongly Lensed Gravitational-wave Signals with Space-based Detector Networks,Yong Yuan; Minghui Du; Benyang Zhu; Xin-yi Lin; Wengjing Feng; Peng Xu; Xilong Fan,2026,The Astrophysical Journal,,,10.3847/1538-4357/ae5658,2603.23373,,preprint,False,0,data_analysis,1.0,
arxiv:2603.21762,Inflationary Phase Transitions in the Early Universe: A Bayesian Study with Space-Based Gravitational Waves Detectors,Qingyuan Liang; Chen Yang; Haipeng An; Huai-ke Guo,2026,,,,,2603.21762,,preprint,False,0,data_analysis,1.0,
10.1016/j.asr.2026.03.060,A high-precision simulation method for the effect of random force on the linear orbital dynamics of the Taiji mission,Jiafeng Zhang; Wenxin Yu; Weijie Liu; Liwei Yang; Chen Gao; Xin Ma; Xiaodong Peng; Wenlin Tang,2026,Advances in Space Research,,,10.1016/j.asr.2026.03.060,,,journal,False,0,mission_design,1.0,
arxiv:2601.08675,One-Loop Tensor Power Spectrum from a Non-Minimally Coupled Spectator Field during Inflation,Zhe Li; Chen Yuan; Qing-Guo Huang,2026,,,,,2601.08675,,preprint,False,0,science_case,1.0,
arxiv:2601.03571,Constraining Lorentz and parity violations in gravity with multiband gravitational wave observations,Zhi-Xin Jia; Tao Zhu; Zhoujian Cao,2026,,,,,2601.03571,,preprint,False,0,data_analysis,1.0,
arxiv:2601.00169,Isotropic stochastic gravitational wave background reconstruction for Taiji constellation,Yang Jiang; Qingye Huang,2026,,,,,2601.00169,,preprint,False,0,mission_design,1.0,
arxiv:2512.20468,Calibration Method of Spacecraft-Inertial Sensor Center-of-Mass Offset for the Taiji Gravitational Wave Detection Mission under Science Mode,Haoyue Zhang; Dong Ye; Peng Xu; Yunhai Geng; Li-E. Qiang; Ziren Luo,2025,,,,,2512.20468,,preprint,False,0,mission_design,1.0,
arxiv:2512.04848,Extreme-Mass-Ratio Inspirals Embedded in Dark Matter Halo II: Chaotic Imprints in Gravitational Waves,Surajit Das; Surojit Dalui; Bum-Hoon Lee; Yi-Fu Cai,2025,,,,,2512.04848,,preprint,False,0,mission_design,1.0,
10.1103/j5l2-hddr,Bayesian analysis of the complex singlet model with phase transition gravitational waves,Qingyuan Liang; Ligong Bian; Huai-Ke Guo; Yongcheng Wu,2025,Physical Review D,,,10.1103/j5l2-hddr,2511.21488,,preprint,False,0,data_analysis,1.0,
10.1103/2xy8-9y1r,Measuring gravitational wave spectrum from electroweak phase transition and Higgs self-couplings,Shuo Guan; Huai-ke Guo; Dian Jiao; Qingyuan Liang; Lei Wu; Yang Zhang,2025,Physical Review D,,,10.1103/2xy8-9y1r,2511.00996,,preprint,False,0,data_analysis,1.0,
10.1088/1742-6596/3109/1/012025,Design of the low thrust transfer orbit for heliocentric space-based gravitational wave observatory,Cheng Chen; Xiangyu Li; Dong Qiao,2025,Journal of Physics: Conference Series,,,10.1088/1742-6596/3109/1/012025,,,journal,False,0,mission_design,1.0,
10.3847/1538-4357/adfc3e,Constrain the Hubble Constant from Extreme Mass Ratio Inspirals Dark Sirens Using Galaxy Clusters,Jian-Dong Liu; Wen-Biao Han; Qianyun Yun,2025,The Astrophysical Journal,,,10.3847/1538-4357/adfc3e,,,journal,False,0,instrument,1.0,
arxiv:2509.20222,Inter-Spacecraft Tilt-to-Length Noise Reduction Algorithm for Taiji Mission,Qiong Deng; Leiqiao Ye; Ke An; Yidi Fan; Ruihong Gao; Ziren Luo; Minghui Du; Pengcheng Wang; Peng Xu,2025,,,,,2509.20222,,preprint,False,0,instrument,1.0,
10.3390/universe11090313,Efficient Parallel Processing of Second-Generation TDI Data for Galactic Binaries in Space-Based Gravitational Wave Missions,Xue-Hao Zhang; Soumya D. Mohanty; S. R. Valluri; Shao-Dong Zhao; Qun-Ying Xie; Yu-Xiao Liu,2025,Universe,,,10.3390/universe11090313,,,journal,False,0,mission_design,1.0,
10.1007/s11433-025-2850-5,Revealing the origin of supermassive black holes with Taiji-TianQin network,Ping Shen; Wen-Biao Han; Wen-Xin Zhong,2025,"Science China Physics, Mechanics & Astronomy",,,10.1007/s11433-025-2850-5,2509.04396,,preprint,False,0,data_analysis,1.0,
10.3847/1538-4357/ae1743,Bright Siren without an Electromagnetic Counterpart Detected by the LISA-Taiji-TianQin Network,Yejing Zhan; David Izquierdo-Villalba; Xiao Guo; Qing Yang; Daniele Spinoso; Fa-Yin Wang,2025,The Astrophysical Journal,,,10.3847/1538-4357/ae1743,2509.04218,,preprint,False,0,source_modeling,1.0,
arxiv:2508.14584,Scalar induced gravitational waves in PV symmetric teleparallel gravity with non-minimally coupled boundary term,Fengge Zhang,2025,,,,,2508.14584,,preprint,False,0,,1.0,
